[2025-07-18 20:50:29] [EasyTrainerLogger] Logger initialized. Writing to log_2.txt and log_current.txt
[2025-07-18 20:50:29] [EasyTrainerInit] Starting initialization
[2025-07-18 20:50:29] [EasyTrainerInit] Performing data dumps and loading to memory.
[2025-07-18 20:50:29] [EasyTrainerWeaponLoader] Loaded 1778 weapons.
[2025-07-18 20:50:30] [EasyTrainerVehicleLoader] Loaded 534 vehicles (Injected 0 new).
[2025-07-18 20:50:30] Silencio (Items.MeleeMod3_Common) | Common | Unknown | itemPart, WeaponMod, MeleeMod, Common
[2025-07-18 20:50:30] Unknown (Items.generic_long_walk_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Vivisector (Items.ShotgunMod1_Uncommon) | Uncommon | Unknown | itemPart, WeaponMod, RangedMod, Uncommon
[2025-07-18 20:50:30] Unknown (Items.ma_wbr_jpn_09_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] NeoFiber (Items.AdvancedNeoFiberLegendary) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Titanium Bones (Items.AdvancedTitaniumInfusedBonesLegendary2) | Legendary | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:30] Unknown (Items.ma_wat_kab_06_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.w_submachinegun__arasaka_senkoh__mag_std) | Unknown | Magazine | itemPart
[2025-07-18 20:50:30] Axolotl (Items.IconicAdvancedSubdermalCoProcessorEpic) | Iconic | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:30] Jenkins' Tendons (Items.AdvancedJenkinsTendonsEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Basic Kiroshi Optics (Items.AdvancedKiroshiOpticsBareUncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Painducer (Items.AdvancedBloodDepleterLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.w_rifle_assault__militech_ajax__base1) | Unknown | Muzzle | itemPart
[2025-07-18 20:50:30] Biomonitor (Items.HealthMonitorUncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Militech \"Falcon\" Sandevistan (Items.AdvancedSandevistanC4MK5Plus) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Sandevistan, Iconic_OS_CW, Iconic_Falcon_Sandevistan
[2025-07-18 20:50:30] Fireproof Coating (Items.FireproofSkin) | Unknown | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Prototype implants (Items.q301_prototype_implants) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:30] A coin sometimes used in FIA operations. The front depicts NUS President Rosalind Myers. It's equipped with a biometrics reader and microprocessor. The moment you touched it, a profile was created and entered into an FIA database. (Items.q302_president_coin) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:30] Unknown (Items.GradAirDropWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:30] Heal-On-Kill (Items.AdvancedHealOnKillRarePlus) | Rare+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Scarab (Items.AdvancedRapidMuscleNurishLegendary2) | Legendary | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:30] Stabilizer (Items.PRSRMod1_Epic) | Epic | Sniper Mod | itemPart, WeaponMod, RangedMod, Epic
[2025-07-18 20:50:30] Unknown (Items.crowd_makeup_d_compact) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Unknown (Items.ma_bls_ina_se1_16_onscreen_03) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Jenkins' Tendons (Items.AdvancedJenkinsTendonsLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.ma_hey_spr_06_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Cogito Lattice (Items.AdvancedCogitoFrameLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.mws_jim_shard_ramen) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_cct_cpz_16_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Cripple Movement (Items.LocomotionMalfunctionProgram) | Unknown | Quickhack | itemPart, SoftwareShard, pShard
[2025-07-18 20:50:30] Unknown (Items.w_knuckles_grip) | Unknown | Miscellaneous | parentPart
[2025-07-18 20:50:30] Unknown (Items.SimpleWeaponMod03) | Unknown | Weapon Mod | itemPart, WeaponMod, DeprecatedWeaponMod, HideInUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.w_special__militech_hercules__rcv1) | Unknown | Unknown | itemPart
[2025-07-18 20:50:30] Unknown (Items.ma_pac_cvi_13_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.q115_rogue_shard_2) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sq031_rogue_advertising_silver_pixel_cloud_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.delivery_crate_d) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] CLASSIFIED/To do/Priority P0 (Items.q306_blackops_orders) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_wbr_jpn_15_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Brass Earrings (Items.MediumQualityJewellery2) | Unknown | Unknown | Junk, Jewellery, NoVisuals
[2025-07-18 20:50:30] Scar Coalescer (Items.AdvancedNoPainNoGainLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Datashard (Items.ma_bls_ina_se1_02_onscreen_01_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor, Quest
[2025-07-18 20:50:30] Unknown (Items.ma_hey_gle_05_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.loc_ma_hey_spr_106_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Bioconductor (Items.AdvancedBioConductorsUncommonPlus) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.crowd_soda_can_f) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Dense Marrow (Items.AdvancedDenseMarrowLegendary2) | Legendary | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:30] Swiss Cheese (Items.PowerMod2_Epic) | Epic | Unknown | itemPart, WeaponMod, RangedMod, Power, Epic
[2025-07-18 20:50:30] Militech Canto Mk.6 (Items.HauntedCyberdeck_EpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck, Haunted_Deck
[2025-07-18 20:50:30] Kerenzikov Boost System (Items.AdvancedKerenziovBoostSystemLegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Carapace (Items.AdvancedWeirdTankyPlatingEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Better Half (Items.RangedMod1_Epic) | Epic | Unknown | itemPart, WeaponMod, RangedMod, GenericRangedMod, Epic, Exclusive
[2025-07-18 20:50:30] Unknown (Items.w_rifle_assault__nokota_sidewinder__rcv1) | Unknown | Unknown | itemPart
[2025-07-18 20:50:30] Clutch Padding (Items.AdvancedShockAbsorberCommonPlus) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Defenzikov (Items.AdvancedPlatingGlitchEpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Cable Necklace (Items.LowQualityJewellery2) | Unknown | Unknown | Junk, Jewellery, NoVisuals
[2025-07-18 20:50:30] Unknown (Items.generic_cyberpsychosis_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] BioDyne Berserk (Items.AdvancedBerserkC2MK1) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Berserk
[2025-07-18 20:50:30] Drugs (Items.Q305_sandra_hack) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:30] Fortified Ankles (Items.AdvancedReinforcedMusclesLegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Me-thrill (Items.SimpleFabricEnhancer02) | Unknown | Miscellaneous | itemPart, FabricEnhancer, DeprecatedFabricEnhancer, HideInUI, HideAtVendor, DummyPart
[2025-07-18 20:50:30] Unknown (Items.generic_mox_gang_backstory_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_bls_ina_09_shard_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Key to Jackie's Bike (Items.sq018_jackies_key_bike) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:30] Unknown (Items.ma_hey_gle_09_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_wat_lch_12_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] RAM Upgrade (Items.AdvancedRamUpgradeLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.generic_q112_warehouse_ammo) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.locomotion_crowd_cigarette_i_stick) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI, ItemDecoration_Cigarette, ItemDecoration_Cigarette
[2025-07-18 20:50:30] Unknown (Items.sts_ep1_03_shard_019_patient_card_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.crowd_tableware_entropy_a_mug_a) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Titanium Bones (Items.AdvancedTitaniumInfusedBonesCommon) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Explosive Round (Items.ExplosiveDamageRound) | Unknown | Fragment | itemPart, Fragment, itemPart, DummyPart, SkipActivityLog, HideInBackpackUI, HideInUI, HideAtVendor, itemPart
[2025-07-18 20:50:30] Unknown (Items.ma_wat_nid_07_onscreen) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_hey_rey_01_shard_002) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.DummyBlankMod2) | Unknown | Weapon Mod | itemPart, WeaponMod, DummyPart, HideInUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_wbr_jpn_19_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_wat_lch_01_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Kiroshi \"Sentry\" Optics (Items.AdvancedKiroshiOptics_Tutorial_EpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI, MustBeWearableToPurchase
[2025-07-18 20:50:30] Adreno-trigger (Items.IconicAdvancedDetectorRushLegendary) | Iconic | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:30] Leeroy Ligament System (Items.IconicJenkinsTendonsRarePlus) | Iconic | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:30] Unknown (Items.ma_bls_ina_se5_10_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Feedback Circuit (Items.AdvancedDischargeConnectorEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.ma_wbr_hil_105_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_hey_rey_02_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.OvertureDanteWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:30] Condenser (Items.ShotgunMod3_Uncommon) | Uncommon | Unknown | itemPart, WeaponMod, RangedMod, Uncommon
[2025-07-18 20:50:30] Encrypted data (Items.we_ep1_05_drone_shard_002) | Unknown | Miscellaneous
[2025-07-18 20:50:30] Bionic Joints (Items.AdvancedBionicJointsRarePlus) | Rare+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Kiroshi \"Stalker\" Optics (Items.AdvancedKiroshiOpticsPiercingEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Shock-n-Awe (Items.AdvancedElectroshockMechanismUncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.sts_ep1_03_shard_015_tree_victim_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.cbj_ep1_01_shard_03) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Bionic Joints (Items.AdvancedBionicJointsCommon2) | Common | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:30] RC-7 Varkolak (Items.w_muzzle_brake_03) | Unknown | Unknown | itemPart, WeaponMod, Muzzle_Brake, CourierReward, Tier3-4
[2025-07-18 20:50:30] Unknown (Items.generic_gnostic_01_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Cube (Items.GenericJunkItem25) | Unknown | Junk | Junk
[2025-07-18 20:50:30] Unknown (Items.sts_hey_gle_01_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Archived Conversation: Lenny Kaminsky and Evie Cross (Items.sts_ep1_06_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.generic_cyril_alexandria_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.generic_pacifica_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Feedback Circuit (Items.DischargeConnectorLegendary) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Key to Jackie's Room (Items.sq018_jackies_key_room) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:30] Unknown (Items.loc_ma_hey_spr_110_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Axolotl (Items.IconicAdvancedSubdermalCoProcessorLegendaryPlus_Regina) | Iconic | Cyberware | Cyberware, HideInBackpackUI, AdvancedSubdermalCoProcessor_Regina
[2025-07-18 20:50:30] !OBSOLETE (Items.mq304_Supply_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_wat_lch_08_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Microgenerator (Items.AdvancedMicroGeneratorEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Fortified Ankles (Items.AdvancedReinforcedMusclesRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.crowd_workshop_tool_l_cutter) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Unknown (Items.sts_std_rcr_01_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Cyberpsychosis (Items.MadnessLvl4PlusPlusProgram) | Unknown | Quickhack | itemPart, SoftwareShard, Tier3Shard, Tier6Shard
[2025-07-18 20:50:30] Visual Cortex Support (Items.AdvancedVisualCortexSupportEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.generic_wysiwyg_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.AdvancedStrongArmsElectricStatsShard) | Unknown | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:30] Nano-plating (Items.AdvancedNanoTechPlatesUncommonPlus) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] ThreatEvac (Items.AdvancedCatchMeIfYouCanCommonPlus) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Me-thrill (Items.SimpleFabricEnhancer01Rare) | Rare | Miscellaneous | itemPart, FabricEnhancer, DeprecatedFabricEnhancer, HideInUI, HideAtVendor, DummyPart
[2025-07-18 20:50:30] Unknown (Items.sts_ep1_03_shard_004) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.RipperdocToken) | Unknown | Miscellaneous | Token
[2025-07-18 20:50:30] Unknown (Items.ma_std_rcr_10_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Protector (Items.SexToyJunkItem5) | Unknown | Junk | Junk, SexToy
[2025-07-18 20:50:30] Zero-G (Items.ThrowMod2_Legendary) | Legendary | Unknown | itemPart, WeaponMod, MeleeMod, ThrowMod, Legendary
[2025-07-18 20:50:30] Unknown (Items.ma_hey_spr_10_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Newton Module (Items.AdvancedSubdermalCoProcessorUncommonPlus) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Kiroshi \"Doomsayer\" Optics (Items.AdvancedKiroshiOpticsHunterLegendary) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Shard (Items.ma_wat_nid_10_crackable_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor, Quest
[2025-07-18 20:50:30] Unknown (Items.int_food_001__mixed_fast_food_i_hotdog_half) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Second Heart (Items.AdvancedSecondHeartLegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.we_ep1_17_shard_002) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.int_food_001__popcorn) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Unknown (Items.loc_ma_hey_gle_102_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] \"Rolling with the Scavs\" - scriptv.02_final_final (Items.mq303_bd_schedule_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Bioconductor (Items.AdvancedBioConductorsEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Spray Paint (Items.GenericPoorJunkItem5) | Unknown | Junk | Junk
[2025-07-18 20:50:30] Adrenaline Booster (Items.StaminaRegenBoosterLegendary) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.sts_pac_cvi_02_shard_003) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_std_arr_105_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] RAM Reallocator (Items.IconicCamilloRamManagerLegendary) | Iconic | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:30] Unknown (Items.tool_welder) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Fluorescent Lipstick (Items.MoxiesJunkItem1) | Unknown | Junk | Junk, FactionItem, Moxies, NoVisuals
[2025-07-18 20:50:30] Unknown (Items.crowd_magazine) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI, WorkspotSyncAnimated
[2025-07-18 20:50:30] Bionic Joints (Items.AdvancedBionicJointsLegendary2PlusPlus) | Legendary | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:30] NOW HIRING! BARBACK AT THE MOTH (Items.q306_alex_hire) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.ma_pac_cvi_09_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.AdvancedMusculoskeletalSystemModule) | Unknown | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Focus Fire (Items.ARSMGLMGMod3_Epic) | Epic | Unknown | itemPart, WeaponMod, RangedMod, Epic
[2025-07-18 20:50:30] Optical Camo (Items.AdvancedOpticalCamoRarePlus) | Rare+ | Unknown | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Sonic Shock (Items.CommsNoiseLvl3Program) | Unknown | Quickhack | itemPart, SoftwareShard, Tier1Shard, Tier2Shard, Tier3Shard
[2025-07-18 20:50:30] Microrotors (Items.CyberRotorsEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Damaged Poker Chip (Items.CasinoPoorJunkItem1) | Unknown | Junk | Junk
[2025-07-18 20:50:30] Unknown (Items.ma_wat_lch_04_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.w_special__militech_hercules__base1) | Unknown | Muzzle | itemPart
[2025-07-18 20:50:30] Second Heart (Items.AdvancedSecondHeartLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] C-Thru (Items.TechMod2_Common) | Common | Unknown | itemPart, WeaponMod, RangedMod, Tech, Common
[2025-07-18 20:50:30] The Cartesian Duelists – Snake Arena Showcase (Items.q204_vinyl_the_cartesian_duelists) | Unknown | Junk | Junk
[2025-07-18 20:50:30] Titanium Bones (Items.AdvancedTitaniumInfusedBonesLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.ep1_generic_flight_guide_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sa_ep1_304_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_ep1_13_shard_007) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.generic_q105_braindance_suitcases) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.wst_ep1_13_shard_002_extra) | Unknown | Shard | Quest
[2025-07-18 20:50:30] Unknown (Items.CardiovascularSystemModule) | Unknown | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Pain Editor (Items.AdvancedPainReductorLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.HitmanNovaWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:30] Mechatronic Core (Items.AdvancedMechatronicCoreRarePlus) | Rare+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.w_lmg__midnight_ma70__rcv1) | Unknown | Unknown | itemPart
[2025-07-18 20:50:30] Atomic Sensors (Items.AdvancedTroubleFinderCommonPlus) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:30] Unknown (Items.sts_ep1_13_shard_003) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.crowd_drug_inhaler) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:30] Unknown (Items.ep1_generic_cz_history_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Chitin (Items.IconicAdvancedChitonLegendaryPlusPlus) | Iconic | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:30] Unknown (Items.ma_hey_gle_03_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.sts_ep1_03_shard_012_rifle) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Unknown (Items.cbj_ep1_03_shard_03) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:30] Disinfectant (Items.GenericPoorJunkItem1) | Unknown | Junk | Junk, CreepyFollower
